id,Name,SMILES,Neutral_Energy_Hatree,Oxidation_Energy_Hatree,Reduction_Energy_Hatree,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Oxidation_Potential_V,Reduction_Potential_V,Redox_Window_V,Monomer_Type,IP_Hatree,EA_Hatree,Mulliken_Electronegativity_Hatree,Chemical_Potential_Hatree,Hardness_Hatree,Softness_Hatree,Electrophilicity_Index_Hatree,Corrected_Redox_Window_V,Acetone_Gibbs_Free_Energy_Hatree,Acetone_Solvation_Free_Energy_kJ_per_mol,Chloroform_Gibbs_Free_Energy_Hatree,Chloroform_Solvation_Free_Energy_kJ_per_mol,DMF_Gibbs_Free_Energy_Hatree,DMF_Solvation_Free_Energy_kJ_per_mol,DMSO_Gibbs_Free_Energy_Hatree,DMSO_Solvation_Free_Energy_kJ_per_mol,Hexane_Gibbs_Free_Energy_Hatree,Hexane_Solvation_Free_Energy_kJ_per_mol,Water_Gibbs_Free_Energy_Hatree,Water_Solvation_Free_Energy_kJ_per_mol,THF_Gibbs_Free_Energy_Hatree,THF_Solvation_Free_Energy_kJ_per_mol,Software,Source,Theory_Level
18276,OMG_monomer_11119,O=C(O)C1=c2cc3ccccc3cc2=C(C(=O)O)C(=O)C1=O,-1065.941075,-1065.653275,-1066.076491,-8.2573,-3.3203,0.224366,0.00094421,0.16320887,0.06210135,8.305290023,-1065.777867,-1065.715765,4.937,3.388160143,-0.756698428,4.144858571,Dicarboxylic acid,0.287800005,0.135415499,0.211607752,-0.211607752,0.152384506,6.562346949,0.146923863,-0.75176504,-1065.814555,-96.32530001,-1065.808556,-80.57480761,-1065.814532,-96.26433378,-1065.812601,-91.19537078,-1065.802804,-65.47242238,-1065.806229,-74.46555933,-1065.812296,-90.39561482,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18277,OMG_monomer_11122,O=C(O)c1ccc(F)c(F)c1C(=O)O,-807.9759231,-807.6118741,-807.9878745,-10.1596,-0.1616,0.12521125,0.00094421,0.07613197,0.05002349,3.117576066,-807.8997911,-807.8497676,9.998,5.462132148,-4.114921418,9.577053565,Dicarboxylic acid,0.364048976,0.011951418,0.188000197,-0.188000197,0.352097558,2.840121945,0.05019074,4.939128894,-807.9208876,-55.3889414,-807.917371,-46.15601089,-807.9204869,-54.33674865,-807.9193415,-51.32960111,-807.9126313,-33.71201384,-807.9189062,-50.18666135,-807.9189825,-50.38697365,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18278,OMG_monomer_11123,O=C(O)CC(S)(S)C(=O)O,-1253.3868,-1253.019997,-1253.377918,-10.0644,0.1144,0.11555649,0.00094421,0.06809619,0.04840451,4.651583337,-1253.318704,-1253.2703,10.1788,5.537039218,-4.681588956,10.21862817,Dicarboxylic acid,0.366802912,-0.008881947,0.178960483,-0.178960483,0.375684859,2.661805434,0.042624628,4.599378831,-1253.342654,-62.87990223,-1253.338219,-51.23739582,-1253.342956,-63.67285072,-1253.342217,-61.73187264,-1253.332881,-37.22032945,-1253.340698,-57.74524287,-1253.340707,-57.76966918,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18279,OMG_monomer_11125,O=C(O)Nc1ccc(Br)c(Cl)c1C(=O)O,-3697.828731,-3697.501917,-3697.832235,-9.2237,-0.1783,0.14037085,0.00094421,0.08538659,0.05592847,6.72024245,-3697.743345,-3697.687416,9.0454,4.449353149,-4.344686464,8.794039613,Dicarboxylic acid,0.326814454,0.003504174,0.165159314,-0.165159314,0.32331028,3.093004034,0.042184862,3.609305269,-3697.778975,-93.54851805,-3697.774433,-81.62272206,-3697.778348,-91.90063199,-3697.776956,-88.24756245,-3697.764449,-55.41052181,-3697.777225,-88.95144278,-3697.775388,-84.12887575,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18280,OMG_monomer_11126,O=C(O)Nc1cccc(Cl)c1C(=O)O,-1124.42416,-1124.101759,-1124.438235,-9.1252,-0.1384,0.14970016,0.00094421,0.09886733,0.05177704,3.346677595,-1124.325293,-1124.273516,8.9868,4.329317959,-4.057167529,8.386485487,Dicarboxylic acid,0.322401396,0.014074723,0.168238059,-0.168238059,0.308326672,3.243313309,0.045899442,3.574459464,-1124.34837,-60.58779722,-1124.346533,-55.7654289,-1124.347045,-57.10915528,-1124.345637,-53.41363344,-1124.340091,-38.85127233,-1124.346778,-56.40800242,-1124.34586,-53.99786074,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18281,OMG_monomer_11128,CCOc1cc(C(=O)O)cc(C(=O)O)c1,-763.3074534,-762.9888462,-763.315977,-9.0759,-0.0096,0.20470297,0.00094421,0.15073194,0.05491524,3.488680544,-763.1567215,-763.1018062,9.0663,4.226115695,-4.208159066,8.434274762,Dicarboxylic acid,0.318607195,0.008523564,0.163565379,-0.163565379,0.310083631,3.224936437,0.043139383,3.400646775,-763.1790893,-58.72679206,-763.1761236,-50.94040381,-763.1783278,-56.72754343,-763.1767844,-52.67532647,-763.1716429,-39.17626819,-763.17492,-47.78020456,-763.1772246,-53.83100441,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18282,OMG_monomer_11129,O=C(O)COc1cccnc1C(=O)O,-740.0213269,-739.6664383,-740.0143636,-9.9644,0.0006,0.16238926,0.00094421,0.11152933,0.05180415,3.611668463,-739.9097976,-739.8579935,9.965,5.212971106,-4.629403093,9.842374199,Dicarboxylic acid,0.354888644,-0.006963349,0.173962647,-0.173962647,0.361851993,2.763560849,0.041816825,4.800354354,-739.9406264,-80.94108721,-739.935788,-68.23772608,-739.9400719,-79.48513787,-739.9389181,-76.4558514,-739.9269345,-44.99296294,-739.942814,-86.68446932,-739.9373011,-72.21045605,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18283,OMG_monomer_11130,O=C(O)c1cccc(Oc2cccc(C(=O)O)c2)c1,-915.737253,-915.4137089,-915.7417089,-9.1975,0.0125,0.23008119,0.00094421,0.17139879,0.05962661,4.981653369,-915.5658542,-915.5062276,9.21,4.360399501,-4.318798514,8.679198015,Dicarboxylic acid,0.323544099,0.004455937,0.164000018,-0.164000018,0.319088162,3.133930111,0.042145101,4.009083498,-915.5965656,-80.63273888,-915.5933034,-72.06792198,-915.5953811,-77.52302034,-915.593267,-71.97227981,-915.586865,-55.16382656,-915.5904005,-64.44644681,-915.5940898,-74.13267703,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18284,OMG_monomer_11131,O=C(O)c1cc2cc3ccccc3cc2cc1C(=O)O,-916.7307787,-916.4419767,-916.77004,-8.1943,-0.7959,0.2382794,0.00094421,0.18126108,0.05796254,6.347592543,-916.5495176,-916.4915551,7.3984,3.415414617,-3.372092897,6.787507514,Dicarboxylic acid,0.288802008,0.039261291,0.164031649,-0.164031649,0.249540717,4.007362046,0.053911807,2.08762596,-916.5831437,-88.2852146,-916.5806772,-81.80955733,-916.5817087,-84.51770667,-916.5793906,-78.43141247,-916.5733152,-62.48047541,-916.5761273,-69.86361297,-916.5805226,-81.40344996,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
18285,OMG_monomer_11132,O=C(O)Cc1cc(O)c(C(=O)O)[nH]1,-701.9418443,-701.6436988,-701.9315814,-8.4433,-0.1591,0.1565658,0.00094421,0.10634236,0.05116765,6.59275068,-701.8355019,-701.7843343,8.2842,3.669556164,-4.719149685,8.388705849,Dicarboxylic acid,0.298145447,-0.010262856,0.143941296,-0.143941296,0.308408303,3.242454854,0.033590368,3.086176037,-701.8701175,-90.88318766,-701.8651374,-77.80800868,-701.869556,-89.40902868,-701.8686225,-86.95811586,-701.8540656,-48.73887379,-701.8743813,-102.0776755,-701.8661034,-80.34413677,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
