crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
Zn,mp-1194247,0.0,As-Eu-Zn,6.901442260127949,24.584425849757256,False,3.69188289,0.0612680948275912,-6.975848162068965,-0.8967135993103444,A6B11C12,Eu11(ZnAs2)6,False,True,True,False,3,29,11,6,FM,False,76.9928919,76.9928919,0.1079922436717295,-6.975848162068965,712.9483496429605
Zn,mp-1194369,0.3621999999999999,Na-O-Si-Zn,3.1979089956660465,13.38808734790666,False,0.37394282,0.1109327222321567,-6.25536632142857,-2.284746067364531,ABCD4,NaZnSiO4,False,True,False,False,4,28,8,4,FM,False,4.0009976,1.0002494,0.0106731281112319,-5.862794892857143,374.8664457413865
Zn,mp-1194397,0.0,Be-Zn,6.289824465849093,16.204741092175535,False,2.34266635,0.2057194682142846,-1.2311433742857143,0.2057194682142855,AB13,BeZn13,False,False,True,False,2,28,0,0,NM,True,0.0033835,0.00169175,7.45703279225072e-06,-1.2311433742857143,453.73275058091497
Zn,mp-1194420,1.5295,Br-C-N-Zn,2.417522259726194,26.053043461299367,False,-0.39674668,0.6025163512740397,-5.599628931153846,0.2425370276923086,AB2C4D6,ZnC2(Br2N3)2,False,False,False,False,4,26,0,0,NM,False,0.0787382,0.0393691,0.0001162394831986,-5.268705854230769,677.3791299937835
Zn,mp-1194452,0.0,Tm-Zn,8.673330772060533,16.62352154570062,False,3.2337112,0.0231661181533575,-2.228503966551724,-0.3033620503448275,A6B23,Tm6Zn23,False,False,True,False,2,29,0,0,NM,False,2e-07,2e-07,4.148670728508547e-10,-2.228503966551724,482.0821248253179
Zn,mp-1194462,0.338,O-Se-Zn,3.933459996159311,13.531108147627096,False,0.02176431,0.3198265016071442,-5.056303030714285,-0.8435746530133922,ABC5,ZnSeO5,False,True,False,False,3,28,4,5,FM,True,8.0003244,2.0000811,0.0211162211040843,-4.565588745,378.8710281335587
Zn,mp-1194488,0.0285999999999999,K-O-P-Zn,2.86035487022003,16.0700869145217,False,-0.83820472,0.054042933157036,-6.5000814992307685,-2.3439275861282036,AB2C2D8,KZn2(PO4)2,False,True,False,False,4,26,4,8,FM,False,2.0025321,1.00126605,0.0047927846186703,-6.077312268461538,417.82225977756417
Zn,mp-1194491,0.0,Cu-O-P-Zn,4.464166127521038,11.548825845898046,False,2.19269601,0.0703662333333401,-6.328124174666668,-2.1131081136944454,AB2C3D9,Zn3CuP2O9,False,True,True,False,4,30,2,1,FM,False,2.0047167,1.00235835,0.0057862063980932,-5.915924174666667,346.46477537694136
Zn,mp-1194514,3.6652,B-Ba-O-Pb-Zn,4.3716930406306975,12.933026899172235,False,4.75694686,0.0019275837575758,-7.603788819272728,-2.7492614887196964,A2B4C4D14E31,Ba4Zn4B14Pb2O31,False,False,False,False,5,55,0,0,NM,False,0.0005783,0.0005783,8.129995813445982e-07,-7.216570637454545,711.316479454473
Zn,mp-1194550,0.9742000000000002,As-Ca-Zn,3.8771899060362953,24.42079134639398,False,3.37145668,0.0,-4.131416094767442,-1.0844229968604653,A4B18C21,Ca21(Zn2As9)2,True,False,False,True,3,86,0,0,NM,False,0.1527366,0.0763683,7.272520171654613e-05,-4.131416094767442,2100.188055789882
