id,Name,reactant_1,reactant_2,psmiles,SMILES,Energy_Hatree,es,reaction_type,Isotropic_Polarizability_au,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Software,Source,Theory_Level
633,OMG_polymer_56851,COc1ccc(C(=O)O)c(CC(=O)O)c1,Nc1cc(Cl)cc(N)c1CC(=O)O,*Nc1cc(Cl)cc(NC(=O)c2ccc(OC)cc2CC(*)=O)c1CC(=O)O,COc1ccc(C(=O)Nc2cc(Cl)cc(N)c2CC(=O)O)c(CC=O)c1,-1642.078052813731,0.99966395,Polyamidation,269.80383,-8.5203,0.0544,0.3537603499999999,0.00094421,0.27709271,0.07761186,6.781651714,-1641.800960103731,-1641.723348253731,8.5747,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
634,OMG_polymer_68021,O=C(O)C(Cc1ccc(Br)c(F)c1)C(=O)O,NCCCCC(N)C(=O)O,*NCCCCC(NC(=O)C(Cc1ccc(Br)c(F)c1)C(*)=O)C(=O)O,NCCCCC(NC(=O)C(C=O)Cc1ccc(Br)c(F)c1)C(=O)O,-3706.085046231311,0.99596137,Polyamidation,241.88345,-9.3599,0.1641,0.37444566,0.00094421,0.29400438,0.0813855,2.175588374,-3705.791041851311,-3705.709656361311,9.524,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
635,OMG_polymer_10585,Cc1cccnc1C(CC(=O)O)CC(=O)O,Nc1cc(C(=O)O)cc(N)c1Br,*Nc1cc(C(=O)O)cc(NC(=O)CC(CC(*)=O)c2ncccc2C)c1Br,Cc1cccnc1C(CC=O)CC(=O)Nc1cc(C(=O)O)cc(N)c1Br,-3736.02920535415,0.99861693,Polyamidation,272.44516,-8.3576,0.1618,0.36504734,0.00094421,0.2859954,0.07999615,5.632144257,-3735.74320995415,-3735.66321380415,8.5194,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
636,OMG_polymer_130150,O=C(O)Nc1cccc(Cl)c1C(=O)O,Nc1ccc(-c2ccc(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,*Nc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3C(*)=O)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,Nc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3C=O)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,-2794.551003977009,0.9637459,Polyamidation,365.92414,-8.6337,-0.3393,0.38404577,0.00094421,0.29435134,0.09063865,9.478486278,-2794.256652637009,-2794.166013997009,8.2944,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
637,OMG_polymer_170609,COc1ccc(C(=O)O)c(NC(=O)c2ccccc2C(=O)O)c1,Nc1cc(F)c(N)c(C(=O)O)c1,*Nc1cc(F)c(NC(=O)c2ccc(OC)cc2NC(=O)c2ccccc2C(*)=O)c(C(=O)O)c1,COc1ccc(C(=O)Nc2c(F)cc(N)cc2C(=O)O)c(NC(=O)c2ccccc2C=O)c1,-1602.91551942241,0.9923934,Polyamidation,337.60419,-8.3037,-0.1365,0.41086964,0.00094421,0.32549568,0.08631817,9.522138926,-1602.59002374241,-1602.50370557241,8.1672,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
638,OMG_polymer_173913,CCC(NC(=O)C1CCC(C(=O)O)CC1)C(=O)O,Cc1cc(N)c(N)c(C(=O)O)c1,*Nc1cc(C)cc(C(=O)O)c1NC(=O)C1CCC(C(=O)NC(CC)C(*)=O)CC1,CCC(C=O)NC(=O)C1CCC(C(=O)Nc2c(N)cc(C)cc2C(=O)O)CC1,-1318.88601590084,0.9920002,Polyamidation,281.06678,-8.002,0.2651,0.48709337,0.00094421,0.40325118,0.0847864,2.129074017,-1318.48276472084,-1318.39797832084,8.267100000000001,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
639,OMG_polymer_54376,COC(=O)C(CC(=O)O)C(CC(=O)O)C(=O)OC,Nc1cc(N)c(CC(=O)O)cc1Br,*Nc1cc(NC(=O)CC(C(=O)OC)C(CC(*)=O)C(=O)OC)c(CC(=O)O)cc1Br,COC(=O)C(CC=O)C(CC(=O)Nc1cc(N)c(Br)cc1CC(=O)O)C(=O)OC,0.0,0.9142046,Polyamidation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
640,OMG_polymer_110234,CSCCC(CC(=O)O)CC(=O)O,Cc1cc(C(=O)O)c(N)cc1N,*Nc1cc(NC(=O)CC(CCSC)CC(*)=O)c(C)cc1C(=O)O,CSCCC(CC=O)CC(=O)Nc1cc(N)c(C(=O)O)cc1C,-1431.605786782509,0.99779594,Polyamidation,251.79256,-8.0231,0.1999,0.39206595,0.00094421,0.3133911,0.07961906,3.808773968,-1431.292395682509,-1431.212776622509,8.222999999999999,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
641,OMG_polymer_59209,COc1cc(C(=O)O)c(C)c(C(=O)O)c1,N#Cc1ccc(N)c(N)c1C(=O)O,*Nc1ccc(C#N)c(C(=O)O)c1NC(=O)c1cc(OC)cc(C(*)=O)c1C,COc1cc(C=O)c(C)c(C(=O)Nc2c(N)ccc(C#N)c2C(=O)O)c1,-1235.432591364843,0.99494946,Polyamidation,263.68954,-8.7164,-0.3274,0.33234583,0.00094421,0.2579418,0.07534824,2.245216811,-1235.174649564843,-1235.099301324843,8.389,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
642,OMG_polymer_101540,Cc1ccc(S(=O)(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc1,Nc1ccc(N)c(C(=O)O)c1F,*Nc1ccc(NC(=O)c2cc(NS(=O)(=O)c3ccc(C)cc3)cc(C(*)=O)c2)c(C(=O)O)c1F,Cc1ccc(S(=O)(=O)Nc2cc(C=O)cc(C(=O)Nc3ccc(N)c(F)c3C(=O)O)c2)cc1,-1962.975402125363,0.9774355,Polyamidation,334.68892,-8.2315,-0.4602,0.40682526,0.00094421,0.31797686,0.08979262,9.459553426,-1962.657425265363,-1962.567632655363,7.7713,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
