crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
K,mp-1212078,0.0568999999999999,F-H-K-Mo-O,2.6352961861831794,17.13547600003701,False,-1.11973505,0.4367857874837666,-5.420992646818182,-1.880523914750001,ABC2D3E4,K2MoHO3F4,False,True,False,False,5,44,4,1,FM,True,4.0001288,1.0000322,0.0053054854257694,-4.917992646818182,753.9609440016284
K,mp-1212082,0.0,Er-K-O-Sb,4.1648207555286145,17.369496848393936,False,-0.44238956,0.2502068973295444,-6.015566013636363,-1.875171566113636,ABC2D7,K2ErSbO7,False,True,True,False,4,22,14,3,FM,True,8.0000002,4.0000001,0.0209353429118412,-5.578384195454546,382.1289306646666
K,mp-1212084,0.1842999999999999,Ce-I-K,4.286936291944825,41.293060340605024,False,2.85606059,0.0036180746875,-3.6498227959375,-1.7097329460624997,AB2C5,K2CeI5,True,True,False,False,3,32,4,1,FM,True,4.0,1.0,0.0030271430349056,-3.4129477959375,1321.3779308993608
K,mp-1212085,0.13,Cl-Cu-K-O,1.9460981263110544,29.91677102301268,False,-0.99041604,0.7124952501388906,-3.336821443888889,-0.7137627076111109,AB2C2D4,K2Cu(Cl2O)2,False,True,False,False,4,18,6,2,FM,True,2.0029433,1.00147165,0.0037194731908795,-3.184154777222222,538.5018784142283
K,mp-1212086,0.0,Ge-Hg-K,5.34985381594848,25.41703765098351,False,3.45710265,0.0034240362345676,-3.718285148888889,-0.0955742606296294,A3B4C20,K4Hg3Ge20,False,False,True,False,3,54,0,0,NM,True,9.58e-05,4.79e-05,6.979861691338474e-08,-3.718285148888889,1372.5200331531096
K,mp-1212097,1.8773,Gd-K-Nb-O,4.84018274007491,14.02081518479764,False,1.16755292,0.2657249493840474,-8.970882074565218,-2.8402831179239136,AB2C5D15,K2GdNb5O15,False,True,False,False,4,46,2,1,FM,True,1.9999299,0.99996495,0.0031008708397827,-8.522838596304348,644.9574985006915
K,mp-1212098,3.2258,Ca-Cr-F-K,3.0135888764570966,15.01115295720272,False,1.72809832,0.0039699799359036,-6.397022974871795,-3.348914938371795,ABC2D9,KCaCr2F9,True,True,False,False,4,78,12,3,FM,True,36.000257,6.000042833333333,0.0307465894009691,-5.76963835948718,1170.869930661812
K,mp-1212099,1.1473,Br-K-La-O-Ta,5.871127063407028,26.705019549229693,False,2.42202912,0.00499285937037,-6.213454177592593,-1.9009000345277784,AB2C3D6E15,K2LaTa6(Br5O)3,False,False,False,False,5,54,0,0,NM,True,0.1368314,0.0684157,9.488533832164544e-05,-5.840454177592592,1442.071055658403
K,mp-1212100,1.3491000000000002,Al-Fe-H-K-O,3.1977418398388213,12.004170691471527,False,1.50017471,0.073807143985773,-7.286767077727273,-2.393654235818182,AB2C3D4E12,KAl4Fe3(HO6)2,True,True,False,False,5,22,7,6,FM,True,15.0004166,15.0004166,0.0568000185690658,-6.604403441363636,264.0917552123736
K,mp-1212103,0.2243,Fe-K-O-P,3.11839339135682,13.306870574962694,False,0.99973186,0.1570667472258788,-7.250057795789473,-2.2626360921578943,A2B2C3D12,K2Fe2(PO4)3,True,True,False,False,4,76,8,2,FiM,True,11.4934105,2.873352625,0.0113647370863332,-6.578689374736842,1011.3221636971648
K,mp-1212119,4.2389,As-Ca-H-K-O,1.9827840572382285,9.785470272010642,False,-1.61882629,0.0050580482741926,-5.461285920967742,-1.5445440342903227,ABCD12E16,KCaAs(H4O3)4,False,False,False,False,5,31,0,0,NM,True,0.0016049,0.0016049,5.290595781586079e-06,-5.195350437096774,303.3495784323299
K,mp-1212124,3.3095,Ca-F-Fe-K,3.0166925673895797,15.321651640107012,False,1.22546011,0.0070401933974322,-5.9641708671794875,-3.0980668706794874,ABC2D9,KCaFe2F9,True,True,False,False,4,78,12,3,FiM,True,20.0000001,3.33333335,0.0167351577829318,-5.297247790256411,1195.088827928347
K,mp-1212132,2.58,C-K-Mo-N-Na-O,1.6000302096306165,25.75814640010578,False,1.46216252,0.3470387601157449,-6.9474920246666665,-0.5705992688701145,ABC2D3E4F4,K3NaMoC4(N2O)2,True,False,False,False,6,30,0,0,NM,True,4.6e-06,2.3e-06,5.952809295808011e-09,-6.546158691333333,772.7443920031734
K,mp-1212134,3.0065999999999997,C-K-N-O,1.570644459549428,17.693396113344313,False,2.38971328,0.2202208111706376,-7.811623995714285,-0.3034722276607137,AB2C4D7,K2C7N4O,False,False,False,False,4,28,0,0,NM,True,7.87e-05,3.935e-05,1.588566868513418e-07,-7.659409709999999,495.4150911736408
K,mp-1212135,0.2892999999999999,As-F-K,2.658151451199202,16.40599935953034,False,-2.6241995,0.1898985696875001,-3.913164233125,-1.9801603046250005,AB3C12,K3AsF12,False,True,False,False,3,16,8,3,FM,True,3.9979244,3.9979244,0.0152304208676473,-3.566664233125,262.49598975248546
K,mp-1212136,0.7448999999999999,Au-F-K,2.9600253716510188,19.011968267750024,False,-3.67950635,0.0678207703124997,-3.487599405,-1.6411727518125003,AB3C12,K3AuF12,True,True,False,False,3,16,4,3,FM,True,2.0022883,2.0022883,0.0065823284042757,-3.141099405,304.1914922840004
K,mp-1212137,0.0,Cl-Cu-H-K,2.3177122732995548,22.733189858071615,False,-0.38561654,0.3854348616666683,-3.2584985716666663,-0.9807648723333332,AB2C2D4,K2Cu(HCl2)2,False,True,True,False,4,18,2,1,FM,True,2.0002772,1.0001386,0.0048882938032409,-2.9856096827777776,409.1974174452891
K,mp-1212138,0.3104,Ce-Cl-K,2.9140838150209527,28.176611431264934,False,2.67784452,0.0,-4.70054411625,-2.5259728226249996,AB2C5,K2CeCl5,False,True,False,True,3,32,4,1,FM,True,4.0,1.0,0.0044363035031706,-4.31679411625,901.651565800478
