crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
Mg,mp-1233374,2.0163999999999995,Ba-Mg-O-Si-V,3.8706025520716807,13.750346262811757,False,3.74160246,0.1210116744021885,-8.025881482608696,-3.04497034576087,AB2C2D4E14,Ba2MgV2(Si2O7)2,False,True,False,False,5,23,2,2,FM,True,3.9867124,3.9867124,0.0126058877664718,-7.459881482608696,316.25796404467036
Mg,mp-1233375,0.8606000000000003,Cd-Mg-Mn-O,4.6608524610324675,13.42222762814822,False,3.55063537,0.2439093123809552,-8.14626534142857,-1.743970362803777,ABC9D10,MgMn9CdO10,False,True,False,False,4,21,9,9,FM,True,44.9987527,44.9987527,0.1596454632556902,-7.104265341428571,281.86678019111264
Mg,mp-1233376,0.0,F-Mg-Mn-O,4.477041334690873,10.812457755574776,False,2.60084187,0.1738431825000121,-7.825976106000001,-2.0284644045879316,AB3C8D13,MgMn8O13F3,False,True,True,False,4,25,12,21,FiM,True,29.0001066,29.0001066,0.1072840505112647,-6.879536106000001,270.31144388936934
Mg,mp-1233377,1.3417,Gd-In-Mg-O,6.9586652644585625,15.788530713802665,False,3.62791096,0.1966727696560859,-10.382030930952382,-3.1953335269047627,AB2C6D12,Gd6MgIn2O12,False,True,False,False,4,21,6,6,FM,True,41.9994478,41.9994478,0.1266725663720871,-9.989459502380951,331.55914498985595
Mg,mp-1233382,1.7620999999999998,Mg-O-Sr-W,6.313952942785826,14.268613793517218,False,3.68371938,0.1980351825287378,-7.923319680689655,-2.660900422327586,AB4C6D18,Sr6Mg(W2O9)2,True,True,False,False,4,29,2,2,FM,True,1.9999046,1.9999046,0.0048331413677717,-6.884767956551724,413.7898000119993
Mg,mp-1233387,1.2799,F-Mg-O-V,2.982000449441024,13.84807426891255,False,-1.0349182,0.0527087585080616,-6.6345304112903225,-2.8553284626209683,AB5C6D19,MgV6O5F19,False,True,False,False,4,31,3,6,FiM,True,1.0138688,1.0138688,0.0023617323626513,-5.911530411290323,429.290302336289
Mg,mp-1233388,2.2343,Ba-Mg-Mo-O-P,3.659700495911227,14.545861239970275,False,3.50310707,0.1068653755012185,-7.972073743488371,-2.608479921666666,AB2C4D8E28,Ba2MgMo4(P2O7)4,False,True,False,False,5,43,4,4,FM,True,14.0000001,14.0000001,0.0223830952532229,-7.226864441162791,625.4720333187219
Mg,mp-1233390,1.1515000000000004,Mg-O-Ti-V,3.941965198637036,11.434380872634147,False,3.13959136,0.0918581934000126,-8.8234545168,-2.8293222835999994,AB3C5D16,MgTi3V5O16,False,True,False,False,4,25,5,5,FM,True,7.0004413,7.0004413,0.0244890960970318,-8.043774516800001,285.85952181585367
Mg,mp-1233391,0.7650999999999999,Cr-Mg-O-P,3.092789597986892,13.147228008728256,False,2.48078783,0.1142713018666903,-8.1575566956,-2.5170487221333326,AB4C4D16,MgCr4(PO4)4,False,True,False,False,4,25,4,4,FM,True,14.0002058,14.0002058,0.0425951563042961,-7.3980366956,328.68070021820637
Mg,mp-1233392,0.3395,Co-Mg-O-P,3.020240006574289,13.283574601893628,False,0.91986165,0.0927521747619195,-7.443255650238094,-2.230027721825395,AB5C8D28,MgCo5(P2O7)4,False,True,False,False,4,42,9,33,FM,True,18.9999997,18.9999997,0.0340556633884983,-6.790255650238095,557.9101332795324
Mg,mp-1233394,0.9381,Br-Mg-O-Ta-Te,3.898571033951102,40.502665790013424,False,0.22436558,0.0917239278703716,-4.507870536111111,-1.2653132641898148,ABC2D4E10,MgTa2Te4Br10O,False,False,False,False,5,18,0,0,NM,True,0.0,0.0,0.0,-4.173037202777778,729.0479842202417
Mg,mp-1233395,1.3864,H-Mg-O-Rb-Se,2.667825224487276,17.706748296644495,False,1.33735933,0.1487267829433696,-5.263168255714286,-1.3259651991581638,AB4C8D12E24,Rb4MgH12(SeO3)8,False,False,False,False,5,49,0,0,NM,True,0.0001533,0.0001533,1.7668808389648298e-07,-4.926678459795919,867.6306665355802
Mg,mp-1233396,0.5832999999999999,Cr-H-Hg-Mg-O,4.915570762433981,14.456943296661466,False,0.3677696,0.0879957803225783,-6.015780818064516,-1.3693778383064514,AB4C4D4E18,MgCr4Hg4(H2O9)2,True,True,False,False,5,31,2,4,AFM,True,0.0251009,0.0251009,5.600813636724218e-05,-5.3589421083870965,448.16524219650546
